Summary,Issue Type,Status,Priority,Assignee,Sprint,Story Points,Epic Name,Description
Hash-Chained Audit Trail,Story,Done,High,Anshuman Bakshi,Sprint 1 - Foundation,5,PII Blocking Pipeline,"Implement hash-chained audit log with tamper detection, audit API endpoints, and time-range query support for full regulatory compliance."
Base Model Interface,Story,Done,Critical,Anshuman Bakshi,Sprint 2 - ML Models,3,ML Model Framework,"Create abstract base class for all models with fit(), predict(), predict_proba(), save/load interfaces and metrics calculator."
XGBoost Fraud Detector,Story,Done,Critical,Anshuman Bakshi,Sprint 2 - ML Models,5,ML Model Framework,"Implement XGBoost wrapper with hyperparameter configuration, early stopping, and serialization. Target AUC-ROC > 0.90 on all datasets."
LightGBM Fraud Detector,Story,Done,High,Anshuman Bakshi,Sprint 2 - ML Models,3,ML Model Framework,"Implement LightGBM wrapper optimized for CPU with performance comparable to XGBoost."
IsolationForest Anomaly Detector,Story,Done,High,Anshuman Bakshi,Sprint 2 - ML Models,3,ML Model Framework,"Implement IsolationForest for anomaly-based detection with anomaly score to probability conversion and contamination tuning."
TabNet Deep Learning Model,Story,Done,Critical,Anshuman Bakshi,Sprint 2 - ML Models,8,ML Model Framework,"Implement TabNet optimized for 4GB VRAM (≤1GB usage), with extractable attention weights and GPU memory management."
Weighted Ensemble Model,Story,Done,High,Anshuman Bakshi,Sprint 2 - ML Models,5,ML Model Framework,"Implement weighted ensemble combining XGBoost, LightGBM, IsolationForest, TabNet with weight optimization, probability calibration, and stacking."
SHAP Explainability Integration,Story,Done,High,Anshuman Bakshi,Sprint 2 - ML Models,5,ML Model Framework,"Integrate SHAP for model explanations with feature importance ranking, explanation API, and result caching."
MLflow Experiment Tracking,Story,Done,Medium,Anshuman Bakshi,Sprint 2 - ML Models,3,ML Model Framework,"Set up MLflow for metrics logging, model artifact storage, and experiment management."
Model API Endpoints,Task,Done,High,Anshuman Bakshi,Sprint 2 - ML Models,5,ML Model Framework,"Create REST API: POST /api/v1/models/train, POST /api/v1/models/predict, GET /api/v1/models/{id}/metrics, GET /api/v1/models/{id}/explain."
Gaussian Mechanism for DP,Story,Done,Critical,Anshuman Bakshi,Sprint 3 - FL & DP,3,Differential Privacy,"Implement Gaussian mechanism with correctly calibrated noise and (ε,δ) guarantees for differential privacy."
Rényi DP Accountant,Story,Done,Critical,Anshuman Bakshi,Sprint 3 - FL & DP,5,Differential Privacy,"Implement Rényi Differential Privacy accountant with RDP composition, (ε,δ) converter, and tight bounds."
Privacy Budget Manager,Story,Done,Critical,Anshuman Bakshi,Sprint 3 - FL & DP,3,Differential Privacy,"Track and enforce privacy budget per client and aggregate with budget enforcement and query API."
DP API Endpoints,Task,Done,High,Anshuman Bakshi,Sprint 3 - FL & DP,3,Differential Privacy,"Create REST API: GET /api/v1/dp/budget, POST /api/v1/dp/query, GET /api/v1/dp/history."
Flower FL Server,Story,Done,Critical,Anshuman Bakshi,Sprint 3 - FL & DP,5,Federated Learning,"Implement Flower server with FedAvg aggregation strategy, round management, and client tracking."
Flower FL Client,Story,Done,Critical,Anshuman Bakshi,Sprint 3 - FL & DP,5,Federated Learning,"Implement Flower client with local training, gradient extraction, and differential privacy integration."
Multi-Krum Byzantine Aggregator,Story,Done,High,Anshuman Bakshi,Sprint 3 - FL & DP,5,Federated Learning,"Implement Byzantine-robust Multi-Krum aggregation tolerating f malicious clients with configurable f parameter."
Trimmed Mean & Coordinate Median,Story,Done,High,Anshuman Bakshi,Sprint 3 - FL & DP,3,Federated Learning,"Implement Trimmed Mean and Coordinate Median robust aggregation strategies with configurable trimming ratio."
FL Simulator,Story,Done,High,Anshuman Bakshi,Sprint 3 - FL & DP,5,Federated Learning,"Single-machine FL simulation supporting 3+ clients with data partitioning, convergence verification, and metrics tracking."
FL API Endpoints,Task,Done,High,Anshuman Bakshi,Sprint 3 - FL & DP,3,Federated Learning,"Create REST API: POST /api/v1/fl/simulate, GET /api/v1/fl/status, GET /api/v1/fl/history."
Phi-3 Model Loading & Quantization,Story,Done,Critical,Anshuman Bakshi,Sprint 4 - LLM & RAG,5,LLM & RAG Intelligence,"Load Phi-3-mini-4k with 4-bit quantization, VRAM ≤ 2GB, with basic generation and memory management."
Prompt Engineering Templates,Story,Done,High,Anshuman Bakshi,Sprint 4 - LLM & RAG,3,LLM & RAG Intelligence,"Create and tune prompt templates for executive summary, evidence report, and technical report generation."
ChromaDB Vector Store Setup,Story,Done,High,Anshuman Bakshi,Sprint 4 - LLM & RAG,3,LLM & RAG Intelligence,"Set up ChromaDB vector store with collections, persistence, and integration tests."
Embedding Generation Pipeline,Story,Done,High,Anshuman Bakshi,Sprint 4 - LLM & RAG,3,LLM & RAG Intelligence,"Create MiniLM embedding pipeline with batch processing and ChromaDB integration."
RAG Retriever with MMR Diversity,Story,Done,High,Anshuman Bakshi,Sprint 4 - LLM & RAG,5,LLM & RAG Intelligence,"Implement semantic retrieval with Maximal Marginal Relevance diversity, relevance filtering, and configurable k."
Evidence Collector for XAI,Story,Done,High,Anshuman Bakshi,Sprint 4 - LLM & RAG,3,LLM & RAG Intelligence,"Collect SHAP values and TabNet attention evidence, format for prompt injection into LLM reports."
NLI Hallucination Guards,Story,Done,Critical,Anshuman Bakshi,Sprint 4 - LLM & RAG,5,LLM & RAG Intelligence,"Implement NLI-based hallucination detection with claim extraction, entailment checking, confidence scoring, and warning generation."
LLM Report Generator,Story,Done,High,Anshuman Bakshi,Sprint 4 - LLM & RAG,5,LLM & RAG Intelligence,"Generate full fraud reports with LLM including executive summary, evidence integration, and quality validation."
Report API Endpoints,Task,Done,High,Anshuman Bakshi,Sprint 4 - LLM & RAG,3,LLM & RAG Intelligence,"Create REST API: POST /api/v1/reports/generate, GET /api/v1/reports/{id}, GET /api/v1/reports/history."
React + Vite + Tailwind Project Setup,Task,Done,Critical,Komal,Sprint 5 - Dashboard,3,Dashboard UI,"Initialize React project with Vite, configure Tailwind CSS, set up dark theme with custom color palette, and install UI component libraries."
Dashboard Layout & Navigation,Story,Done,High,Komal,Sprint 5 - Dashboard,5,Dashboard UI,"Build main application layout with collapsible sidebar navigation, top header bar with notifications, breadcrumbs, and responsive footer."
Executive Overview Dashboard Page,Story,Done,Critical,Komal,Sprint 5 - Dashboard,8,Dashboard UI,"Build Executive Overview page with KPI stat cards, risk score gauge, risk distribution donut chart, fraud timeline chart, and recent alerts list with API integration."
Transactions & Local Bank View Page,Story,Done,High,Komal,Sprint 5 - Dashboard,5,Dashboard UI,"Build Transactions page with model comparison table, performance bar charts, confusion matrix visualization, feature importance chart, and training history."
Federated Learning Status Page,Story,Done,High,Komal,Sprint 5 - Dashboard,5,Dashboard UI,"Build FL Training page showing federation status, round progress, client contributions, aggregation metrics, and convergence charts."
Privacy & Compliance Page,Story,Done,High,Komal,Sprint 5 - Dashboard,5,Dashboard UI,"Build Privacy page with privacy budget tracker visualization, PII audit display, compliance status indicators, and DP parameter controls."
Explainability & AI Reports Page,Story,Done,High,Komal,Sprint 5 - Dashboard,5,Dashboard UI,"Build Explainability page with LLM-generated fraud reports display, SHAP waterfall charts, feature importance visualizations, and report export."
Login & Authentication UI,Story,Done,High,Komal,Sprint 5 - Dashboard,3,Dashboard UI,"Build login page with role-based access (Employee/Client), auth context provider, protected routes, and session management UI."
Settings & Notifications UI,Story,Done,Medium,Komal,Sprint 5 - Dashboard,3,Dashboard UI,"Build settings modal for system configuration and notification panel for real-time alerts with toast notifications."
Frontend API Client & React Hooks,Task,Done,High,Anshuman Bakshi,Sprint 5 - Dashboard,3,Dashboard UI,"Create type-safe API client library with error handling, loading states, caching, and custom React hooks for data fetching."
Cross-Browser Testing & Responsive QA,Task,Done,Medium,Komal,Sprint 5 - Dashboard,3,Dashboard UI,"Manual testing of all dashboard pages on Chrome, Firefox, and Edge. Verify responsive behavior on tablet and mobile viewports. Submit bug report."
End-to-End Pipeline Integration,Story,Done,Critical,Anshuman Bakshi,Sprint 6 - Integration,8,Integration & Polish,"Full integration testing: Data → PII Pipeline → ML Models → FL Simulation → LLM Reports → Dashboard display. Verify complete data flow."
Demo Script & Presentation Pipeline,Task,Done,High,Anshuman Bakshi,Sprint 6 - Integration,5,Integration & Polish,"Create demo script for panel presentation covering full pipeline execution with error handling and clear output within 10-minute runtime."
Performance & Memory Optimization,Task,Done,Medium,Anshuman Bakshi,Sprint 6 - Integration,5,Integration & Polish,"Optimize VRAM (≤4GB), RAM (≤16GB), API response times (<5s), and eliminate memory leaks across the full stack."
Error Handling & Recovery Polish,Task,Done,Medium,Anshuman Bakshi,Sprint 6 - Integration,3,Integration & Polish,"Add comprehensive error handling across all API endpoints with user-friendly messages, structured logging, and recovery mechanisms."
Documentation & User Guide,Task,Done,Medium,Komal,Sprint 6 - Integration,5,Integration & Polish,"Format and polish README, API documentation, create user guide with screenshots, and export architecture diagrams."
Presentation Slides,Task,Done,High,Anshuman Bakshi,Sprint 6 - Integration,5,Integration & Polish,"Create 20-30 slide panel presentation covering problem statement, solution architecture, demo screenshots, and results summary."
Dockerfile & Deployment Config,Task,Done,Medium,Anshuman Bakshi,Sprint 6 - Integration,3,Integration & Polish,"Create Dockerfile for containerized deployment, configure environment variables, and write deployment documentation."
